name,description,typeEstablishment
Carlos Pellegrini,Bienvenido a la estación de Subte B Carlos Pellegrini,STATION
Uruguay,Bienvenido a la estación de Subte B Uruguay,STATION
Callao,Bienvenido a la estación de Subte B Callao,STATION
Pasteur,Bienvenido a la estación de Subte B Pasteur,STATION
Pueyrredon,Bienvenido a la estación de Subte B Pueyrredon,STATION
Carlos Gardel,Bienvenido a la estación de Subte B Carlos Gardel,STATION
Medrano,Bienvenido a la estación de Subte B Medrano,STATION
Angel Gallardo,Bienvenido a la estación de Subte B Angel Gallardo,STATION
Malabia,Bienvenido a la estación de Subte B Malabia,STATION
Dorrego,Bienvenido a la estación de Subte B Dorrego,STATION
Federico Lacroze,Bienvenido a la estación de Subte B Federico Lacroze,STATION
Tronador - Villa Ortuzar,Bienvenido a la estación de Subte B Tronador - Villa Ortuzar,STATION
Los Incas - Parque Chas,Bienvenido a la estación de Subte B Los Incas - Parque Chas,STATION
Echeverria,Bienvenido a la estación de Subte B Echeverria,STATION
Juan Manuel de Rosas,Bienvenido a la estación de Subte B Juan Manuel de Rosas,STATION
Urquiza,Bienvenido a la estación de Subte B Urquiza,STATION
Rosas,Bienvenido a la estación de Subte B Rosas,STATION
Echeverria - Parque Saavedra,Bienvenido a la estación de Subte B Echeverria - Parque Saavedra,STATION
Congreso de Tucuman,Bienvenido a la estación de Subte B Congreso de Tucuman,STATION
Juramento,Bienvenido a la estación de Subte B Juramento,STATION
José Hernandez,Bienvenido a la estación de Subte B José Hernandez,STATION
Olleros,Bienvenido a la estación de Subte B Olleros,STATION
Ministro Carranza,Bienvenido a la estación de Subte B Ministro Carranza,STATION
Malabia - Osvaldo Pugliese,Bienvenido a la estación de Subte B Malabia - Osvaldo Pugliese,STATION
Dorrego - Jorge Newbery,Bienvenido a la estación de Subte B Dorrego - Jorge Newbery,STATION
Federico Lacroze - Salvador Maria del Carril,Bienvenido a la estación de Subte B Federico Lacroze - Salvador Maria del Carril,STATION
Juan Manuel de Rosas - Echeverria,Bienvenido a la estación de Subte B Juan Manuel de Rosas - Echeverria,STATION
Urquiza - General Artigas,Bienvenido a la estación de Subte B Urquiza - General Artigas,STATION
Rosas - Parque Pereyra Iraola,Bienvenido a la estación de Subte B Rosas - Parque Pereyra Iraola,STATION
Lacarra,Bienvenido a la estación de Subte B Lacarra,STATION
Correo Central,Bienvenido a la estación de Subte B Correo Central,STATION
Leandro N. Alem,Bienvenido a la estación de Subte B Leandro N. Alem,STATION
Catedral,Bienvenido a la estación de Subte B Catedral,STATION
Florida,Bienvenido a la estación de Subte B Florida,STATION
Carlos Pellegrini,Bienvenido a la estación de Subte B Carlos Pellegrini,STATION
